DATE,SH50,HS300,ZZ500
2023-01-04,2651.005,3892.948,5952.454
2023-01-05,2700.308,3968.578,6010.464
2023-01-06,2713.631,3980.889,6012.815
2023-01-09,2742.201,4013.12,6040.019
2023-01-10,2733.619,4017.474,6048.297
2023-01-11,2740.193,4010.031,6014.157
2023-01-12,2741.945,4017.869,6015.287
2023-01-13,2787.356,4074.377,6057.69
2023-01-16,2834.291,4137.964,6126.177
2023-01-17,2827.027,4137.242,6132.639
2023-01-18,2810.086,4130.314,6151.456
2023-01-19,2820.807,4156.008,6204.326
2023-01-20,2836.807,4181.527,6251.434
2023-01-30,2839.122,4201.345,6283.327
2023-01-31,2807.952,4156.858,6289.15
2023-02-01,2820.874,4195.933,6365.905
2023-02-02,2811.847,4181.149,6370.141
2023-02-03,2774.801,4141.632,6343.686
2023-02-06,2735.005,4086.878,6302.335
2023-02-07,2740.445,4094.234,6317.238
2023-02-08,2731.252,4076.141,6268.276
2023-02-09,2761.872,4130.857,6354.562
2023-02-10,2746.723,4106.31,6334.252
2023-02-13,2767.793,4143.574,6383.828
2023-02-14,2776.982,4145.29,6397.215
2023-02-15,2752.339,4123.689,6384.348
2023-02-16,2742.804,4093.488,6289.479
2023-02-17,2714.289,4034.507,6237.405
2023-02-20,2788.396,4133.49,6346.068
2023-02-21,2802.136,4144.354,6383.425
2023-02-22,2769.344,4106.951,6375.068
2023-02-23,2767.535,4103.646,6360.32
2023-02-24,2727.59,4061.046,6340.844
2023-02-27,2723.584,4043.844,6307.206
2023-02-28,2737.155,4069.459,6357.535
2023-03-01,2773.649,4126.942,6402.141
2023-03-02,2769.108,4117.738,6382.232
2023-03-03,2774.508,4130.551,6390.318
2023-03-06,2744.141,4109.01,6395.219
2023-03-07,2713.168,4048.852,6284.299
2023-03-08,2691.933,4034.108,6301.516
2023-03-09,2671.843,4019.851,6285.952
2023-03-10,2636.389,3967.135,6204.899
2023-03-13,2664.038,4008.686,6245.003
2023-03-14,2645.114,3984.696,6189.397
2023-03-15,2648.385,3986.902,6224.64
2023-03-16,2622.823,3939.151,6140.832
2023-03-17,2628.591,3958.819,6183.184
2023-03-20,2616.751,3939.077,6160.354
2023-03-21,2643.358,3982.378,6234.679
2023-03-22,2651.534,3999.443,6269.738
2023-03-23,2668.669,4039.09,6305.759
2023-03-24,2653.285,4027.046,6310.098
2023-03-27,2639.623,4012.477,6311.6
2023-03-28,2638.738,3999.515,6279.922
2023-03-29,2636.223,4006.144,6260.551
2023-03-30,2664.212,4038.526,6286.177
2023-03-31,2661.92,4050.926,6339.818
2023-04-03,2665.723,4090.568,6413.807
2023-04-04,2675.917,4103.105,6408.899
2023-04-06,2666.448,4096.64,6416.846
2023-04-07,2684.862,4123.28,6464.466
2023-04-10,2684.909,4104.812,6410.522
2023-04-11,2680.044,4100.148,6420.877
2023-04-12,2665.77,4097.288,6443.439
2023-04-13,2670.014,4068.979,6404.646
2023-04-14,2679.007,4091.999,6431.069
2023-04-17,2732.974,4149.384,6459.24
2023-04-18,2744.454,4162.032,6449.853
2023-04-19,2720.718,4124.559,6416.97
2023-04-20,2704.858,4113.019,6411.756
2023-04-21,2654.211,4032.567,6250.545
2023-04-24,2618.478,3982.643,6208.78
2023-04-25,2619.233,3962.666,6118.153
2023-04-26,2617.978,3959.232,6142.154
2023-04-27,2650.57,3988.419,6157.936
2023-04-28,2677.757,4029.086,6241.244
2023-05-04,2692.691,4030.247,6262.389
2023-05-05,2685.173,4016.877,6200.576
2023-05-08,2720.323,4062.662,6248.583
2023-05-09,2703.937,4027.875,6181.976
2023-05-10,2673.906,3996.87,6173.809
2023-05-11,2666.062,3990.664,6154.47
2023-05-12,2630.948,3937.762,6091.646
2023-05-15,2677.037,3998.887,6159.389
2023-05-16,2670.451,3978.205,6110.827
2023-05-17,2649.356,3960.165,6122.052
2023-05-18,2644.218,3956.07,6128.176
2023-05-19,2633.386,3944.54,6117.083
2023-05-22,2658.789,3969.328,6115.315
2023-05-23,2617.54,3913.188,6052.43
2023-05-24,2577.342,3859.094,6005.791
2023-05-25,2564.505,3850.5,5988.189
2023-05-26,2559.614,3850.951,6034.983
2023-05-29,2548.286,3833.942,6025.155
2023-05-30,2535.144,3837.753,6061.309
2023-05-31,2493.35,3798.543,6047.802
2023-06-01,2500.34,3806.868,6051.46
2023-06-02,2543.576,3861.834,6105.218
2023-06-05,2528.399,3844.249,6097.106
2023-06-06,2519.189,3808.163,5983.42
2023-06-07,2511.393,3789.342,5987.011
2023-06-08,2540.065,3820.187,5966.148
2023-06-09,2543.932,3836.703,6009.583
2023-06-12,2542.196,3844.432,6027.712
2023-06-13,2544.95,3864.907,6044.037
2023-06-14,2541.813,3864.025,6044.077
2023-06-15,2576.742,3925.499,6096.808
2023-06-16,2600.919,3963.351,6148.013
2023-06-19,2560.529,3930.908,6131.385
2023-06-20,2547.254,3924.238,6126.113
2023-06-21,2519.079,3864.032,5990.846
2023-06-26,2488.738,3809.696,5887.032
2023-06-27,2506.599,3845.433,5948.003
2023-06-28,2510.715,3840.799,5942.311
2023-06-29,2490.897,3821.844,5940.578
2023-06-30,2492.102,3842.452,5998.729
2023-07-03,2534.474,3892.882,6042.312
2023-07-04,2537.596,3899.013,6055.258
2023-07-05,2520.175,3868.805,6020.821
2023-07-06,2501.317,3842.755,5988.553
2023-07-07,2489.535,3825.699,5961.606
2023-07-10,2503.277,3844.327,5984.281
2023-07-11,2518.528,3869.486,6029.232
2023-07-12,2513.417,3843.437,5962.794
2023-07-13,2546.381,3898.423,6044.058
2023-07-14,2547.939,3899.103,6030.519
2023-07-17,2520.786,3867.175,6012.69
2023-07-18,2511.635,3854.939,6001.8
2023-07-19,2517.106,3850.866,5993.413
2023-07-20,2506.863,3823.695,5925.484
2023-07-21,2509.293,3821.91,5925.626
2023-07-24,2500,3805.221,5916.714
2023-07-25,2578.351,3915.115,6016.631
2023-07-26,2576.39,3907.013,6001.54
2023-07-27,2575.365,3902.346,5961.184
2023-07-28,2647.032,3992.738,6043.244
2023-07-31,2653.369,4014.63,6088.243
2023-08-01,2645.893,3998.001,6098.879
2023-08-02,2620.684,3969.895,6077.465
2023-08-03,2645.153,4004.984,6098.687
2023-08-04,2648.845,4020.579,6128.556
2023-08-07,2634.581,3990.153,6090.731
2023-08-08,2631.377,3979.732,6066.102
2023-08-09,2628.704,3967.565,6021.751
2023-08-10,2629.443,3975.717,6031.711
2023-08-11,2568.898,3884.254,5913.35
2023-08-14,2549.284,3855.906,5916.803
2023-08-15,2546.442,3846.536,5879.778
2023-08-16,2530.81,3818.334,5833.216
2023-08-17,2536.489,3831.101,5874.361
2023-08-18,2507.58,3784.004,5777.797
2023-08-21,2475.09,3729.555,5710.778
2023-08-22,2493.764,3758.227,5741.061
2023-08-23,2461.187,3696.634,5629.5
2023-08-24,2480.752,3723.429,5652.673
2023-08-25,2485.334,3709.152,5581.212
2023-08-28,2518.186,3752.619,5644.141
2023-08-29,2529.223,3790.107,5770.316
